id,title,amount,category,date,notes
1,Pharmacy,696.09,Health,2026-03-12,
2,Petrol,4747.61,Transport,2026-05-09,reimbursable
3,Internet — ACT,899.00,Utilities,2026-06-22,
4,Metro card top-up,530.60,Transport,2026-06-02,
5,Pharmacy,1785.87,Health,2026-06-29,office expense
6,Petrol,3739.44,,2026-05-11,
7,Ikea trip,6545.31,Shopping,2026-01-25,reimbursable
8,Doctor consultation,838.79,Health,2026-04-25,
9,Ikea trip,5113.66,Shopping,2026-03-29,split with roommate
10,Airport cab,1228.66,Travel,2026-06-23,
11,Spotify family,179.00,Entertainment,2026-03-17,recurring
12,Amazon — books,564.02,Shopping,2026-03-14,reimbursable
13,Monthly rent,43835.93,Rent,2026-04-26,
14,Airport cab,1433.74,Travel,2026-06-29,split with roommate
15,Flight tickets,25615.40,Travel,2026-06-22,
16,Monthly rent,31308.99,Rent,2026-03-14,recurring
17,Groceries — DMart,2421.02,Food,2026-06-15,
18,Myntra order,1221.46,Shopping,2026-06-08,split with roommate
19,Lunch at Toit,1650.71,Food,2026-05-10,
20,Ikea trip,6345.12,Shopping,2026-06-03,reimbursable
21,Uber to office,364.36,Transport,2026-03-16,
22,Petrol,4624.61,Transport,2026-03-10,recurring
23,Electricity bill,3088.95,Utilities,2026-01-22,one-time
24,Airport cab,1124.60,Travel,2026-01-18,recurring
25,Monthly rent,25542.24,Rent,2026-06-29,office expense
26,Lunch at Toit,1565.71,Food,2026-07-04,
27,Water bill,323.84,Utilities,2026-01-16,reimbursable
28,Electricity bill,2691.43,Utilities,2026-02-12,
29,Flight tickets,25194.50,Travel,2026-03-08,one-time
30,Pharmacy,1509.41,Health,2026-05-18,
31,Coffee,389.93,Food,2026-01-30,
32,Dinner with team,1076.54,Food,2026-05-23,one-time
33,Electricity bill,2196.23,,2026-02-14,one-time
34,Airport cab,1670.51,Travel,2026-06-29,
35,Hotel stay,17770.79,Travel,2026-06-27,
36,Water bill,533.26,Utilities,2026-03-31,recurring
37,Monthly rent,43124.56,Rent,2026-04-13,
38,Groceries — DMart,2795.11,Food,2026-02-04,
39,Electricity bill,1880.92,Utilities,2026-07-05,
40,Petrol,2690.05,Transport,2026-03-12,
41,Hotel stay,5069.50,Travel,2026-03-21,
42,Doctor consultation,604.69,Health,2026-07-07,
43,Concert,7805.86,Entertainment,2026-05-16,reimbursable
44,Flight tickets,13557.91,Travel,2026-05-01,
45,Gas cylinder,1137.20,Utilities,2026-06-22,split with roommate
46,Gym membership,2917.97,,2026-02-13,one-time
47,Hotel stay,5822.23,Travel,2026-01-25,
48,Auto to station,143.92,Transport,2026-02-15,
49,Movie tickets — PVR,338.25,Entertainment,2026-06-19,
50,Auto to station,188.79,Transport,2026-02-25,
51,Petrol,2758.09,Transport,2026-07-07,
52,Gym membership,2278.82,Health,2026-03-04,reimbursable
53,Electricity bill,3296.61,Utilities,2026-04-28,recurring
54,Uber to office,323.80,Transport,2026-06-04,reimbursable
55,Water bill,339.95,Utilities,2026-03-18,
56,Internet — ACT,899.00,Utilities,2026-03-31,one-time
57,Monthly rent,34764.37,Rent,2026-02-16,one-time
58,Lunch at Toit,1304.48,Food,2026-04-29,one-time
59,Gym membership,3493.21,Health,2026-05-25,
60,Monthly rent,44081.72,Rent,2026-03-03,recurring
61,Gas cylinder,1297.60,Utilities,2026-05-10,
62,Monthly rent,36153.17,Rent,2026-06-07,recurring
63,Netflix subscription,649.00,Entertainment,2026-04-21,
64,Gym membership,3133.63,Health,2026-06-23,
65,Spotify family,179.00,Entertainment,2026-05-25,recurring
66,Flight tickets,19857.86,Travel,2026-05-21,
67,Groceries — DMart,1870.91,Food,2026-02-05,
68,Internet — ACT,899.00,Utilities,2026-04-25,one-time
69,Monthly rent,32092.63,Rent,2026-06-30,one-time
70,Zomato order,295.68,Food,2026-03-19,
71,Electricity bill,3181.27,Utilities,2026-05-15,
72,Ikea trip,5039.78,,2026-01-19,
73,Coffee,247.67,,2026-02-01,
74,Zomato order,492.94,Food,2026-06-05,
75,Petrol,4355.03,Transport,2026-04-04,recurring
76,Monthly rent,30157.92,Rent,2026-03-08,recurring
77,Petrol,3726.18,Transport,2026-05-28,
78,Movie tickets — PVR,481.48,Entertainment,2026-07-05,
79,Myntra order,3821.90,Shopping,2026-01-24,
80,Coffee,190.56,Food,2026-05-19,office expense
81,Metro card top-up,544.19,Transport,2026-03-11,reimbursable
82,Hotel stay,7485.18,Travel,2026-02-25,
83,Zomato order,822.32,Food,2026-03-18,
84,Dinner with team,1582.54,Food,2026-05-16,
85,Internet — ACT,899.00,Utilities,2026-01-17,one-time
86,Hotel stay,13022.87,Travel,2026-06-26,one-time
87,Petrol,4042.18,Transport,2026-04-23,one-time
88,Ikea trip,3174.13,Shopping,2026-06-17,
89,Ikea trip,3008.46,Shopping,2026-03-15,recurring
90,Groceries — DMart,1817.24,,2026-04-07,office expense
91,Concert,6985.25,Entertainment,2026-07-08,split with roommate
92,Auto to station,159.83,Transport,2026-06-04,
93,Ikea trip,6634.07,Shopping,2026-04-11,
94,Groceries — DMart,2973.52,Food,2026-04-05,
95,Amazon — books,1217.99,Shopping,2026-03-09,
96,Lunch at Toit,1434.19,Food,2026-06-12,
97,Gas cylinder,1116.98,Utilities,2026-06-30,
98,Monthly rent,33044.17,Rent,2026-04-15,
99,Monthly rent,40250.12,Rent,2026-06-09,split with roommate
100,Monthly rent,42025.19,Rent,2026-02-05,split with roommate
101,Gym membership,2426.10,Health,2026-06-12,
102,Netflix subscription,649.00,,2026-03-17,
103,Monthly rent,36448.48,Rent,2026-04-06,recurring
104,Doctor consultation,1435.22,Health,2026-06-13,recurring
105,Zomato order,700.89,Food,2026-02-01,
106,Gym membership,2651.23,Health,2026-05-30,
107,Auto to station,216.94,Transport,2026-03-22,recurring
108,Gas cylinder,1268.95,Utilities,2026-04-03,reimbursable
109,Monthly rent,35098.26,Rent,2026-02-03,split with roommate
110,Hotel stay,15146.74,Travel,2026-04-27,
